question,document_identifier
Hi does dell have any microservers that support raid. Looking for something nas sized.,doc_730
"Hi everybody, I 'm buying now but still do not know how the machine configuration , I first used this type SERVER anyone can help me solve this problem .Thank you very muchProcessorIntel® Xeon® processor E5-2600 or E5-2600v2 product familyProcessor socket:2Internal Interconnect:2 x Intel QuickPath Interconnect (QPI) links; 6.4 GT/s; 7.2 GT/s; 8.0 GT/sCache:2.5MB per core; core options: 4, 6, 8, 10, 12Operating SystemMicrosoft® Windows Server® 2012Microsoft Windows Server 2008 R2 SP1, x64 (includes Hyper-V®)Novell® SUSE® Linux Enterprise ServerRed Hat® Enterprise Linux®Virtualization options:Citrix® XenServer®VMware® vSphere® ESXi ™Red Hat Enterprise Virtualization®ChipsetIntel C602MemoryUp to 768GB (24 DIMM slots) 2GB/4GB/8GB/16GB/32GB DDR3 up to 1866MT/sStorageMaximum Internal Storage:32TBHot-plug hard drive options:2.5” PCIe SSD, SAS SSD, SATA SSD, SAS (15K, 10K), nearline SAS (7.2K), SATA (7.2K), SAS 512e (15K) 3.5” SAS (15K), nearline SAS (7.2K), SATA (7.2K)Self-Encrypting Drives availableDrive BaysUp to eight 3.5"" drives or up to sixteen 2.5"" drivesSlots7 PCIe slots:One x16 full-length, full-heightThree x8 full-length, full-heightThree x8 half-length, half-heightRAID ControllersInternal controllers:PERC S110 (SW RAID)PERC H310PERC H710PERC H710PExternal HBAs (RAID):PERC H810External HBAs (non-RAID):6Gbps SAS HBACommunicationsBroadcom® 5720 quad-port 1GbE Base-T (no TOE or iSCSI offload) Intel I350 quad-port 1GbE Base-T (no TOE or iSCSI offload) Intel X540 dual-port 10GbE Base-T with 2 x 1GbE (FCoE capability enabled on the 10GbE ports)Broadcom 57800S dual-port 10GbE Base-T with 2 x 1GbE (TOE and iSCSI offload available on 10GbE ports) Broadcom 57800S dual-port 10GbE SFP+ with 2 x 1GbE (TOE and iSCSI offload available on 10GbE ports)Broadcom 57840S quad-port 10GbE SFP+ Rack NDC (NPAR1.0, SRIOV, DCB, iSCSI and FCoE offloads and CEM)PowerTitanium efficiency, hot-plug redundant 750W power supplyPlatinum efficiency, hot-plug redundant 495W, 750W or 1100W power suppliesAuto-ranging power suppliesAvailabilityHigh-efficiency, hot-plug, redundant power supplies; hot-plug drive bays; TPM; dual internal SD support; hot-plugredundant fan; optional bezel; luggage-tag; ECC memory, interactive LCD screen; extended thermal support; ENERGY STAR® compliant, extended power range; switch agnostic partitioning (SWAP)Servers Vietnam | Servers Vietnam | Colocation Vietnam | Colo Vietnam | Domain Vietnam | Hosting Vietnam | VPS Vietnam | VPS Cloud VietnamManagementRemote Management:iDRAC7 with Lifecycle ControlleriDRAC7 Express (default), iDRAC7 Enterprise (upgrade option)8GB vFlash media (upgrade option), 16GB vFlash media (upgrade optional)Systems Management:IPMI 2.0 compliantDell OpenManage™ EssentialsDell OpenManage Power CenterDell OpenManage Connections:• Dell OpenManage Integration Suite for Microsoft® System Center• Dell plug-in for VMware® vCenter™• HP Operations Manager, IBM Tivoli® Netcool®, and CA Network and Systems ManagementRack SupportReadyRails II sliding rails for tool-less mounting in 4-post racks with square or unthreaded round holes or tooled mounting in 4-post threaded hole racks, with support for optional tool-less cable management armReadyRails static rails for tool-less mounting in 4-post racks with square or unthreaded round holes or tooled mounting in 4-post threaded and 2-post (Telco) racks             Domain Vietnam | Server Vietnam The Servers Vietnam power full about hardware and speed Domain Vietnam. High quality Hosting Vietnam and VPS Vietnam",doc_731
"Hi everybody, I just got a dell r320 server and I want to replace the dvd drive to a 2.5 sata bay.The dvd is look like:And I want to replace that to something like: May someone help me with the part number?Any help will be appreciated! ",doc_732
"Hi everyone!I'm having an issue with Quad-Rank RAM-modules that should be able to go up to 1866Mhz but are clocked down to 1333Mhz.Memory Modules:I got 12 of them from a friend of mine, and they are specified at 1866Mhz. They are however Quad-Rank modules that are load-reduced but that shouldn't be a problem.I have tried to just insert one, two, and of course filled A1-A4 and B1-B4 but no dice. (As per Dells recommendation for best performance).Set performance mode on the server (usually have performance per OS). And before anyone asks, yes the CPU should support speeds of 1866Mhz: I have been looking all over for a good answer to this topic for a while now, and can't seem to find a reliable answer to why it's not working, and if it should be working.Firmware updates always unlocks more potential in these old-servers but the documentation does not. There might even be another update I'm not aware of that I can try, but I haven't found one that's newer. I've been checking this link for information, but it hasn't really helped me out. I'm probably just not reading it correctly.https://www.dell.com/support/manuals/sv-se/poweredge-r720/720720xdom/system-memory?guid=guid-7550b0f...I'm thankful for all the help I can get on this matter ",doc_733
"Hi everyone, I have a Dell R610 server and I was wondering if I need either Windows Server edition 2008 r2 standard or Windows Server edition 2008 r2 Enterprise as an OS on it? I am generally new at this and would like the answer to be simple so that I could understand this. Thanks ",doc_734
"Hi everyone, i was hoping to be able to do this but i can't seem to find a way to do so. I have a Nvidia GTX 660 GPU that i have had lying around, and thought it might give a good boost to my encoding activities I perform on my PE T420. However it takes an additional 6pin power plug on the side, and i haven't found any extra cords within the server to accommodate that. Do i really need that to use the GPU, like would it run off of bus power, or would i be opening a can of worms if i tried? Thanks!",doc_735
"Hi everyone, we have a customer looking to install a 2TB PCIE SSD (FusionIO style) in their R430.  Is this possible, and is there a model that will physically fit?  From what I understand these are usually pretty bulky for a 1U server to handle.  Does Dell have a list of supported models somewhere?",doc_736
"Hi everyone,I am running PowerEdge R815 with 128GB of memory (8Sticks of 16GB) I have tried every memory configuration i knew of and it still gives me 'memory configuration is not optimal, Press F1 to continue' upon reboot. I tried A1,B1 ---- A5,B5C1,D1 ---- C5,D5that should be the best according to the manual too but that even give the same issue. Can anyone plz tell me how to configure this to fix this issue?thanks,",doc_737
"Hi everyone,I am trying to upgrade my dell powerdge R740 to make it work with TESLA T4 card.Nobody at dell customer service nor dell technical support is able to assist me, so I am quite desperate.We plugged the TESLA T4 on a riser1 card, the tesla is visible in windows server 2019 with licenced grid rtx drivers but our 3D softwares are not using the card so performances are awfull.I suspecthe riser card to be the wrong one asit seems to be a X8 pci device or maybe something  wrong in the hardware config but I am n ot sure.Can someone help me ?parft number for the riser card is: 330-BBGZ Thanks  ",doc_738
"Hi everyone,I am trying to upgrade my server memory, but I am getting the following error:  My initial set up was:48GB (8GBx6)Slots used are A1, A2, A3 and B1, B2, B3 The upgraded set up that is giving the below error:144GB (8GBx18)Slots used are A1, A2, A…9 and B1, B2, B3, B…9 (all of them) Channels seam to match as all the RAM modules are of 8GB each. I am not sure what I am doing wrong. Thanks in advance.",doc_739
"Hi everyone,I'm trying to find a way to expand an 8-bay SFF R730 to a 16-bay SFF setup by getting a second 8-bay backplane and drive cage.  Two questions: 1.  Is this possible/supported?2. What hardware is needed to accomplish this?The system board is the 599V5 which is supposedly compatible with the 8 or 16-bay configurations, but I'm pretty sure these chassis are not modular.  Can anyone lend their knowledge?",doc_740
"Hi everyone,Please help troubleshoot this issue. The card I was trying to update is QLogic QLE2692 16Gb FC Adapter.The process fails with ""RED097"" error code in logs.For some reason there is unknown status of the HBA card in iDRAC ",doc_741
"Hi everyone,We have a PE R720 92Gb Ram DDR3 and 3Tb HD, BIOS version 1.1.2, iDrac 7.The problem arose when trying to update the BIOS by configuring IDRAC -> update -> search for the file BIOS_DYH8T_WN64_2.7.exe. The server was installed with vmWare 6.Never before should someone update this server. and the update process will be maintained for a long time and I do not spend more than 1%, it will restart in the iDrac and then the hard disk and memory will not be recognized and the server starts. Now the screen shows ""configuring memory..."" and does not progress. The BIOS version remains the same (1.1.2) but now it does not start as I say.Currently I have access to perform the process of updating the version using iDrac but it generates the following error ""File RAC042 not valid for firmware update .....""Thanks in advance.Blessings.",doc_742
"Hi everyone.I got a Dell PowerEdge R720 without hard drives and I came up with the brilliant idea of ​​putting ssd drives on them, I have a samsung 780 evo and a WD blue both 500GB.The Dell PowerEdge R720 server has a Raid Perc H710 Mini controller, sometimes when I start and it works perfectly and with Control+R I can go in and create a virtual disk and I get to the point of starting to install windows server, but after a while it gives me a error and I have to restart the server.Many other times I get this error and I have to restart or shut down the server so that it recognizes the adapter again.Also on other occasions I get this other one that is a single-bit error and I have to do the same. What if it is clear that the virtual disk that is created does not disappear even if the driver is not available.Maybe I'm wrong because of the information I've seen on the internet, many people say that the Perc H710 driver may have a problem. I don't know if I should buy a new one and try it and just updating the firmware of the one I have works.I hope some help from you. If you need any other information I will provide it.Thank you so much for everything.",doc_743
"Hi everyone.I have 3 PowerEdge R310 operating with 3 HDD / RAID5  on PERC S300.If i try  updating PERC firmware (SAS-RAID_Firmware_RPCKX_WN32_2.0.0-016600193000_A06) whilst the server is online, the RAID and SO restarted intact?I apreciate your answers.Thanks.",doc_744
"Hi everyoneI have a faulty server T620, I need to substitute it with a R730 or a T630, because they are already in the customer's workshop.I wonder what is the best and most smooth less solution. If I can use the same RAID10-6 disk configuration without loosing data and functionality and what procedure I should follow for the RAID setup.ThanksBest regards, Gian",doc_745
"Hi everyoneI'm configuring a PowerEdge R650 for selling and when I'm choosing the Additional Network Cards theres the ""Broadcom 5719 Quad Port 1GbE BASE-T Adapter, PCIe Full Height, V2, FIRMWARE RESTRICTIONS APPLY"". My question here is, what are those ""Firmware Restrictions"" on these Network card?Thanks in advance,Greetings.",doc_746
"Hi everyone  Please, I need help I have 6 RAM of 16 GB, how I configure it in blade dell PowerEdge m610 ?",doc_747
"Hi evreybody,What type of riser do I need for Tesla T4 with powerdge R740 ?Also, do I need the GPU enablement kit ?Can't find a proper documentation for this setup and dell poweredge R740 configurator is not available anymore. Thanks",doc_748
"Hi folks -- having a heck of a time trying to understand what is going on with the fans in this C6300 chassis I'm trying to turn up. SYMPTOM: The fans for the left two sleds are going full blast (assuming) and the fans on the right two slots are either not working or are barely turning.  (I disconnected the left side and these right side to try to discern and the right side do seem like they are turning but barely. I could be wrong and they are just dead or turned off.OBSERVATIONS:There is nothing plugged into ""fan speed control"" header on power distribution board.Using only 1 sled out of 4, moved sled to the right side but fans remain only engaged on left.Swapped known working fan from left side to right side to eliminate chance of a defective fan.It appears there have been some known bugs around fans and sled mismatching (C6320 in chassis configured for C6320P and vice-versa?) so a firmware update may rectify some problems: https://www.dell.com/support/home/en-us/drivers/driversdetails?driverid=ph8dpTROUBLESHOOTING: Within fan control of iDRAC, get message ""RAC0709: Unable to retrieve the fan information. Power on the server. If the server is already powered on, wait for a few minutes and refresh the page. If the problem persists, contact your service provider."" (NOTE: OpenManage manual says that RAC0709 error is actually ""Unknown Server Inserted Into Chassis"")Using IPMI documentation for C6220 and C6320P (unable to find docs for C6320), attempted a few commands that failed:Command: ipmitool -I lanplus -H 192.168.50.14 -U root -P ***** raw 0x30 0x12Result: Unable to send RAW command (channel=0x0 netfn=0x30 lun=0x0 cmd=0x12 rsp=0x80): Unknown (0x80)Source: https://www.dell.com/support/manuals/us/en/04/poweredge-c6320p/pec6320p_om_pub/checking-the-fcb-firm...Command: ipmitool -I lanplus -H 192.168.50.14 -U root -P ***** raw 0x30 0xc8 0x01 0x0A 0x05 0x00 0x00 0x00Result: Unable to send RAW command (channel=0x0 netfn=0x30 lun=0x0 cmd=0xc8 rsp=0xd5): Command not supported in present stateSource: https://www.dell.com/support/manuals/us/en/04/poweredge-c6320p/pec6320p_om_pub/checking-the-chassis-...NEXT STEPS (please provide feedback, guidance, tips and suggestions... thanks!)Continue trying to verify/update Fan Control Board (FCB) firmware version.  Here are some relevant links found on Dell site and web....https://community.spiceworks.com/topic/2172051-c6320-c6300-fan-controller-updatehttps://qrl.dell.com/Files/en-us/Html/Manuals/C6320p%20Series/Updating%20the%20fan%20control%20board...Continue attempts to check ""sticky bits"" to ensure chassis is configured for C6320 sleds not C6320PTry additional sleds that are en route to note any different behavior or ability to better see/probe the chassis through those sleds.Exchange this chassis for another from the seller, however their inventory may be similarly configured chassis enclosures from the same environment. ",doc_749
"Hi folks,I do have a few questions and I´d appreciate your support. I am running three Dell PowerEdge servers. My goal is to upgrade operating systems to newer versions as described: Dell PowerEdge 310 - XenServer 7.0 (upgrade to XenServer 7.3)Dell PowerEdge 710 - XenServer 7.2 (upgrade to XenServer 8.1)Dell PowerEdge 730 - VMware ESXi 6.0 (upgrade to VMware 6.7 UU3)Besides that, I want to upgrade firmware; iDRAC, BIOS, RAID, Dell Lifecycle Controller, etc. What would be the proper order? What would be the right procedure, do I need to boot it via USB, or I can load files via iDRAC? I already did it for other server models, and it worked through the management UI where I loaded and installed all files. Do I need to upgrade the firmware before or after XenServer and VMware upgrade? Thank you in advance.Best regardsYaz",doc_750
Hi folks. I had a broken 2gb dimmI thougt I buy one dimm of 8GB and replace all the other dimms8gb Crucial Ddr3 1600 Udimm Pc (PC3-12800)CAS 111.35VNON-ECC1600 MT/SUDIMMI put the dimm in the slot but the server does not boot up (i tried every slots)Is that memory wrong ? I should be ECC only ?,doc_751
"Hi forum,I just put 8 16 GB modules in my R710 (2 CPU). That works after hitting F1 but it complains that the configuration is not optimal. DIMMs are in A1, A2, A3, A4 and B1, B2, B3, B4. Memory Mode is set to Optimal.The RAM is 1600 MHz, dual rank.I assume it has to be A1, A4, A2, A5 + B1, B4, B2, B5. Am I right? Should the Memory Mode stay or better Advanced ECC?Thank you!eine-delle",doc_752
"Hi friends, Is it possible to rename the I/O Module name in M1000e? For example in SLOT A1 in the field name  is displaying the model of switch and I would like to configure to display the switch´s name.Regards",doc_753
"Hi friends...  Can someone please explain what NBD Prosupport covers ? In dell official website, I found below warranty details for my server, Service                    Start date (GMT time zone)            End date (GMT time zone)Parts Only                   November 12, 2014                          November 12, 2015 NBD ProSupport         November 12, 2014                          November 12, 2019In this case NBD prosupport will not cover if any hardware has become faulty ? Then what this Next business day prosupport means ? What are all it covers...? Please brief... Thanks ",doc_754
"Hi gang, just trying to get some clarity on what enterprise support told me this morning. I want to switch from 2.5 inch drives to 3.5 and to me it seems like this should just be a hard drive backplane switch. Support told me this was not possible that I would need to purchase a new server with LFF support. Can someone clarify? Thanks so much",doc_755
"Hi guys, Please recommend a high end graphics card for 2950. Which type ect. Thanks",doc_756
"Hi guys, here in my compani we got a problem. Let me explain that. We have an poweredge T430 with the H330 Raid Card. Recently we buyed x3 Wester digital gold 10TB HDD Sata (WD101KRYZ). But we cant see that on the H330 card menu.I update the drivers of the entire server and it dont work yet. At this moment i dont know what more to try.I called the Dell service too but the warranty just finish a few months ago....Some idea guys?. Thanks in advance.",doc_757
"Hi guys,I cannot find the latest OMSA for ESX. (Is it version 9.x?)Can u pls point me to the correct page?Thx,John Bradshaw",doc_758
"Hi guys,I have T410 with iDRAC6 with firmware 1.90 (Build 09). The server has ESXi 5.5.The current firmware doesn't support TLS 1.2 and I'm trying to upgrade it to a version with TLS 1.2.When searching versions on Dell I see:- Versions for different OS. Which one do I need? I thought iDRAC firmware is OS agnostic.- Also there is ""iDRAC Monolithic Release"". Is it a different version? Thanks",doc_759
"Hi guys,I need help in formatting our servers i think i messed up something delete or mis configuration.we have poweredge r720 server in office and we want to reformat it to become new server. heres what i did:1. during booting we go to lifecycle and configure raid 0 (we have 3 hard disk)2. The system boots good and the server install the OS we have. (but we cant see the 3rd drive because we think 2 disk = Raid 0, and we are trying to see the 3rd drive as a second partition but it doesnt shown so we just decided to recreate a raid 5 to see what happen.3. we create raid 5 via lifecycle in boot menu. but we receive errors and we stock here: the error is SWC0015.4. Please help... i tried to boot on the installed os before but we cant its already remove maybe cause i mess in lifecycle settings i think.Thank you in advance",doc_760
"Hi guys,I'am currently looking for a script or API function that can download firmware updates for a IDrac.In our organisation we cant use the ""Dell Repository Manager"" and ""Dell OpenManage"", because both tools are labeld as a 'black box'.So I wanted to ask you, is there a script(i.e. on Github) or Redfish API command that can download firmware/driver updates?Otherwise I have to write a xml parser for the ""Catalog.xml"" to get the download URL's for the firmware/driver.best regards",doc_761
"Hi guys,I've updated bios and the lifecycle controller firmware (which already seemed to be on the latest). I had to install a GPU because the matrox video driver update would cause a BSOD, or run funny, under Windows 10. The exhaust fan gets really loud as the OS starts. Any fixes for this currently? Thanks!",doc_762
"Hi guys,Some years ago I upgraded the BIOS & CPLD of my R810 and installed four Xeon E7-4870.The R810 is the first revision and does not have the Roman II near the S/T.Now I would like to install 32Gb RDIMM to go from 512Gb to 1Tb memory.Is it possible to change only the CPU/RAM system board to a new one with Intel 7510 memory controller?I think I have a R810 V1 System Board: 0FDG2M and need a V2:  0M9DGR.Thanks,Jean-François",doc_763
"Hi guys,i am going through a nightmare trying to upgrade my server with new RAM.Currently installed RAM : I cannot use this one (that should normally work), the computer does not want to start when this one is use (only one, both of them, or mixed with the older one... ) :Any idea please ?thank you very much",doc_764
"Hi guys,not so sure about the methods to backup R740 poweredge server's bios settings(in iDRAC9).i would like to update bios version and apply the currently settings to the new bios,however, i only found ""backing up server profile""instructions from here, not sure about what this function indicates. does anyone know? ",doc_765
"Hi guys, I've got the systematic meesgae during boot on PowerEdge T300 :""press f1 to continue"" I've disabled Keyboard error, plug or unplug usb keyboard, update BIOS, what else ? Thanks for your help",doc_766
"Hi guys...I have recently bought an old PowerEdge 2850 and she is now running beautifully.... (after a lot of TLC I must add)... BUT... The one last issue I have is that the screen resolution on my monitor is not correct.The ""Display Adapter"" says - Standard VGA Graphics Adapter (???)The Monitor is - Samsung SyncMaster BX3021 (driver is installed)The Chipset says - ATI Radeon VEThe OS is - Windows Server 2008 R2 I tried to download an ATI Radeon driver but it was obviously the incorrect one as all my RAID drives FAILED - I think that was because it was for Server 2008 and not server 2008r2 - so I'm a bit nervous to try another Display Adapter driver because I had to re-create the RAID drives and install everything AGAIN.....etc.Am I stuck with the - ""Standard VGA Graphics Adapter"" -  or what? Surely the ATI Radeon should be giving me better graphics (or at least be able to handle the screen resolution of the Samsung monitor)....Sorry, I am not very clued up w.r.t graphics cards and old servers....I'd appreciate it if someone could point me in the right direction here....ThanxMike",doc_767
"Hi guysI'm having trouble with two redundants PSUs on a R820 server.When both PSUs are connected, a green light is blinking on PSU2. When a single PSU is connected (regardless of slot), the green light does not flash and no alarm on the IDRAC is detected.Accessing IDRAC the psu alarms configuration error. Also tried to access the lifecycle controller but found no firmware update for any of the PSUs. Does anyone have any idea what might be going on?Thanks ",doc_768
"Hi guysIs there a CPU compatibility table anywhere for the various 2950 revisions?I have a 2950 with 1x E5310 CPU (quad-core 1.6GHz 1066FSB) / 32GB RAM / SAS RAID etc for a virtual test bed at home, to which I want to add a second CPU.I thought about buying another E5310, there are often some on eBay. However I also have access to a pair of E5345s (quad-core 2.33 GHz 1333FSB), which are also clovertown family, from a server here at work with a dead mobo. Would these be an 'upgrade' though with my bus speed? I have never been into overclocking so not quite sure how the multiplier/FSB speed thing all works. thanks Dan",doc_769
"Hi guysnot shure if this has been asked before, but we have a small project... and we have plans to try a pci-e 25G sfp transceiver or 40g but i am not sure where even to start with... can anyone confirm if dell supports a 25G or 40G QSFP transceivers for uplink... or its maximum limit is the SFP+ 10G ? We are developing an SEBA/CORD opensource project and we have plans to put minimum a 25G transceiver for uplink and PON GBIC olt 10g sfp+.... ",doc_770
"Hi i have a Dell r610 but it takes some seconds to startup i got 48gb ram, i just checked that everything is ok in terms of ram, hard drives, my bios version is 2.0.13 what can i do to optimize it?thank you",doc_771
"Hi i just bought a 16gb memory to add to my t40 poweredge, originally had a 8gb memory but i does not start, what can I do? Pls can anyboy give us a hand? The old one:The new one:   ",doc_772
"Hi i recently buy a dell t140 powedge server i see than it has a pcie 8x , Can i install a vga card on it.I think about nvidia quadro p400 that is 30w it has pcie x16 butt i know than pciex16 can work on pcie 8x slot .Has anyone add a vga on a t140 server and what vga ..Thank you",doc_773
"Hi i want to purchase an 18 bay 3.5"" hard drive bay on a t630 i also have 4x nvme m.2 pci-e x4 star tech adapters with 4x samsung pro 950 hard drives 128gb each My question is will this see the samsung drives as it does in my fujitsu server as dell have an option to fit 8 bay with 4x m.2 ssd intel option***I don't want to use any dell raid controller just jbod with the 18 bays as server 2012 / 2016 i can create storage tiers along side the 4x star tech adapters***this setup works in a similar fujitsu server but need confirmation before ordering hopping someone out there has used my configuration...Thanks in advance!",doc_774
"Hi i want to upgrade my poweredge 2950 (I) memory and i have 2 sticks of fbd dimms 8 gb, 667 mhz each. In total are 16 Gb, but i´m not sure if it going to work because, back in the day there were 4 gb sticks support, may be because 8 gb sticks didn't exist. The questions are, may this work, not work at all, recognize part of the memory. ?Thanks",doc_775
Hi i'm planning to upgrade ram in this server. It have one RDIMM in A1 slot type of ram 8GB EEC Dual rank ddr3l (1.35v) registered 1333Mhz. My question is can i add 1.5v memmory together? For an example an another RDIMM to A2 slot?Thanks in advanced. ,doc_776
"Hi im trying to install updates to my r610 using usb stick with the repository manager selecting windows x64 bits, but when i try to install on my server it shows No Update available using Dell Lifecycle Controller why it doesnt shows any updates? my bios is 2.0.13 last updated on 2010, so i think i need to update many things to be able to install windows server 2012 right, i need some advice of what i can do to update my serverthank you.",doc_777
"Hi sorry I have been trying to find where I can get an iDRAC 7 Enterprise Licence for my R520, not the original owner it was bought used and I am trying to get it up and running at 100% I know I need an XML and can log in via the web interface to get to iDRAC but I don't have a way to get a licence to import it.",doc_778
"Hi team,Is there any RAID controller card availabe for T410 that supported by ESXi 7.0.3? I have upgraded the CPUs to X5660 and running ESXi v6.7.3 without any issue, with rest of the stock configuration. but v7.x.x fails to detect the stock RAID card. Do I have any option to run ESXi7 at all?-San",doc_779
"Hi team, I was facing some issue regarding  the PowerEgde R610 with display issue and it also unable to go BIOS, any method to solve the issue and make it work?",doc_780
"Hi there! Newbie here.I have a Dell Poweredge SC1425 1U Rack mount server.I use it in my home and it sits in my office on a desk - That's because I only have 1 server, so a rack would be near pointless.It's a little loud, which I expected since its a 1U server and I can live with it, but it would be nice if it ran a little quieter. It's not like it is a whooshing of air sound, its more of a churning engine sound (which I don't think is normal).Programs such as Speed fan and such do not work with this server, and I am sure I am using the program right since I use it on my desktop PC all the time when I feel I need a little bit more air flow.The BIOS doesn't seem to hold any answers to fan control and an external fan controller is near impossible to keep practical with this 1U.So I am thinking that I should lube up the fans, but I am not sure how to go about it :(I have lubed a fan before for a friend, but I knew a lot about the fan in question (A can of WD-40 and a steady hand was all it needed to get running quiet as a mouse). I am scared I mess up this fan because I have not got much experience with server fans. I will leave a link to a pic of the fan so you can see what it is.One method I have tried is to put socks under the corners of the server to dampen any vibrations, but that looks silly and only saved me 1 or 2 decibels (I use a decibel meter iPhone app).If you happen to know of any programs that can help me too, fire away. It is running Windows Server 2012 64-bit.Here is the picture:Thank you in advance.- Matty",doc_781
"Hi there!I have Dell PowerEdge R610 with 8*8GB RAM on board and decided to add more RAM recently, purchased  4*16GB and now, hosting support have no ideas how to make it 128GB They have tried different configurations of installing the memory into slots, and all memory sticks do not work together. The massage on the screen says that “the server does not support existing configuration of memory.”Currently, they have installed 4x16 and 4x8.. Which give us 96gb. But they say that the rest 4x8GB are incompatible with currently installed. Is this possible at all? The rest of 8gb memory sticks have same speed and type as those, that are currently installedIs there a way to make it 128 ? please advice!PS:  monosnap.com/.../yQeh1KYBN6UHW9RZraiZL270rClr1o ",doc_782
"Hi there,Got  a poweredge R710 with 6 x 2tb drives that I want to configure as 1 Raid 5 drive. I have managed to boot from Bios and install server 2012 R2, but this only allows a 2tb maximum due to it being MBR. I am unable to convert this to GPT due to only the one drive.I need to boot this from UEFI and install Windows, but I am having terrible trouble getting the USB to recognise. Does anyone have any guides on how to create a bootable USB that will work with UEFI? I have an ISO of server 2012 R2I have tried to use the lifecycle controller, but this will not work as I do not have an optical drive configured and this will not go any further than the error saying one is not installed. We also do not have an IDRAC yet.Many thanks for any help.",doc_783
"Hi there,I am looking to find out if I can insert an additional 2x 8GB Kingston Modules into our server;New RAM - KVR16N11/8Kingston® Memory - 8GB DDR3-1600MHz, 240-Pin, PC3-12800, Non-ECC, CL11, Dual Rank DIMMAccording to CPU-Z the server currently has;Thanking you in advance,Jonathan",doc_784
"Hi there,I am receiving the messages and errors below when trying to update the firmware on my Poweredge  R210 II server. I am using Dell Server BIOS PowerEdge R210 II Version 2.8.0 which appears to be the latest version for this BIOS but receive the following messages:*red* Please do not remove the AC power !Insyde flash utility etcFile loading 100%Current BIOS Model name:New BIOS Model name: PowerEdge T110 II*red* Cannot use  a ""PowerEdge T110 II"" BIOS*red* In a "" ""*red* Rom update not performedetcI saw the following post for the server in the subject line which has the same message above and points to the server being an OEM box but I am able to open up a support page on the dell.com website using the service tag number on my machine. Any suggestions? Here is the post:http://en.community.dell.com/support-forums/servers/f/956/t/19429285.aspx",doc_785
"Hi there,I have dual-processor T410 and I want to populate all 8 slots to maximize the total memroy. At the moment I have there sticks:4x 4GB 2Rx8 10600E4x 8BG 2Rx4 10600RI tried to follow the technical doc and whatever I try, it works only with either 8GB modules or the 4GB ones. Can I not use all of 'em? What's gonna be be best option in this sitution, so that I get the total max size?-S ",doc_786
"Hi there,I have found many sets of instructions on fitting a DRAC 4/i to the Motherboard of a Poweredge 2800, but none about fitting the PCI version, the DRAC 4/P.I have an R200 at home from which I took it out of as I wanted to fit it to my work server, which is, albeit a dated model a workhorse and being re-juvenised with Ubunutu Server 14.04.1 LTS.Does anyone have instructions on how to fit it as the management ribbon cable doesn't seem to go to anywhere...",doc_787
"Hi there,I have initiated an iDRAC job on one of my servers....  Configure: Import Server Configuration ProfileUnfortunately it is 'Paused' at 20% completion as it requires a server reboot, which I cannot do at the moment.Is it possible for me to cancel the job somehow?Many thanks....",doc_788
"Hi there,I have  a R510 poweredge server with 1 processor (Intel(R) Xeon(R) CPU E5630  @ 2.53GHz)It used to have 12Gb (3x4Gb) of ram, but i've decided to do an upgrade.I have purchased these modules: 8 x 8GB PC3L-10600R DDR3 1333 ECC Reg, that is a total amount of 64GbUnfortunately, the system recognizes only the 32Gb.I have also tried to use just the 4 modules on the slots next to the empty cpu slot, but the system didn't boot cause it couldn't see any ram installed.Can you please help?Thank you in advance.",doc_789
"Hi there,I picked up a used R220 of eBay couple of days ago and wanted to update the BIOS, other firmware etc. before putting it in action. So I started with PER220_BOOTABLE_20.04.00.126 <ADMIN NOTE: Broken link has been removed from this post by Dell> to update whatever available but I cannot boot into it off an USB stick. First I used [Balena] Etcher to create the bootable USB but it keeps telling me it doesn't look like a bootable image as it cannot find a partition-table information. I went ahead in spite of that but then got stuck at F1 prompt, saying cannot find a bootable media. I also tried to with dd to write iso on the stick bot ended up with the very same result. Does anyone know what I'm missing or doing wrong? I'd really appreciate some help!-San",doc_790
"Hi there,I've got a PowerEdge R320, great deal, £70 for an E5-2450, 48gb ram, dedicated enterprise iDRAC, both 350w PSU's and 3TB HDDs with a raid controller. However, I'm having lots of trouble when I'm running into updating the iDRAC firmware. I'm a bit of a neat freak so I'd really love everything to be as up-to-date as possible and I've gone through countless steps trying to fix this. Right now, It's on version 2.21.21. I haven't had any trouble updating the BIOS firmware but I have now rolled it back to its original 2.4.2 from having updated it to 2.9.0 . I have installed Windows Server 2012 R2 on it to try and get it to install from there but still no hope. I don't actually get that much of an error message when i do it, but its usually RED004. I've had a couple times where I've tried and the website comes up with iDRAC 8 instead of  iDRAC7. I have also tried hard resetting it with the command:racadm racreset hard -f Although this works to get iDRAC back into it's regular state after the firmware update going weird, trying again just gives similar errors and I have tried updating via the web page. This has been trying to upgrade to 2.30.30 and 2.65.65 I believe. Any help is much appreciated!",doc_791
"Hi there,I've noticed that you can enable the Automated System Recovery feature in the iDRAC at...iDRAC Settings > Services > Automated System Recovery AgentBut that the actions to be taken by the ASR are configured under the Service Module settings at...iDRAC Settings > Settings > iDRAC Service Module SetupDoes this mean that in order for the ASR to be able to react to an unresponsive system, you need to have the Service Module installed?Thanks....",doc_792
